"Título de trazado: test_lab"
"N.º","Fecha Tiempo, GMT+02:00","Pres abs, kPa (LGR S/N: 20370562, SEN S/N: 20370562, LBL: PRES)","Temp, °C (LGR S/N: 20370562, SEN S/N: 20370562, LBL: TEMP)"
1,08/21/18 11:03:24 AM,101.273,19.187
2,08/21/18 11:03:25 AM,101.257,19.187
3,08/21/18 11:03:26 AM,101.273,19.187
4,08/21/18 11:03:27 AM,101.273,19.187
5,08/21/18 11:03:28 AM,101.273,19.187
6,08/21/18 11:03:29 AM,101.257,19.187
7,08/21/18 11:03:30 AM,101.273,19.187
8,08/21/18 11:03:31 AM,101.273,19.187
9,08/21/18 11:03:32 AM,101.273,19.187
10,08/21/18 11:03:33 AM,101.273,19.187
11,08/21/18 11:03:34 AM,101.273,19.187
12,08/21/18 11:03:35 AM,101.273,19.187
13,08/21/18 11:03:36 AM,101.273,19.187
14,08/21/18 11:03:37 AM,101.273,19.187
15,08/21/18 11:03:38 AM,101.273,19.187
16,08/21/18 11:03:39 AM,101.273,19.187
17,08/21/18 11:03:40 AM,101.273,19.187
18,08/21/18 11:03:41 AM,101.288,19.187
19,08/21/18 11:03:42 AM,101.273,19.187
20,08/21/18 11:03:43 AM,101.273,19.187
21,08/21/18 11:03:44 AM,101.273,19.187
22,08/21/18 11:03:45 AM,101.288,19.187
23,08/21/18 11:03:46 AM,101.288,19.187
24,08/21/18 11:03:47 AM,101.273,19.187
25,08/21/18 11:03:48 AM,101.288,19.187
26,08/21/18 11:03:49 AM,101.273,19.187
27,08/21/18 11:03:50 AM,101.273,19.187
28,08/21/18 11:03:51 AM,101.273,19.187
29,08/21/18 11:03:52 AM,101.273,19.187
30,08/21/18 11:03:53 AM,101.273,19.187
31,08/21/18 11:03:54 AM,101.273,19.187
32,08/21/18 11:03:55 AM,101.273,19.187
33,08/21/18 11:03:56 AM,101.273,19.187
34,08/21/18 11:03:57 AM,101.273,19.187
35,08/21/18 11:03:58 AM,101.273,19.187
36,08/21/18 11:03:59 AM,101.277,19.282
37,08/21/18 11:04:00 AM,101.277,19.282
38,08/21/18 11:04:01 AM,101.277,19.282
39,08/21/18 11:04:02 AM,101.277,19.282
40,08/21/18 11:04:03 AM,101.277,19.282
41,08/21/18 11:04:04 AM,101.277,19.282
42,08/21/18 11:04:05 AM,101.277,19.282
43,08/21/18 11:04:06 AM,101.277,19.282
44,08/21/18 11:04:07 AM,101.277,19.282
45,08/21/18 11:04:08 AM,101.277,19.282
46,08/21/18 11:04:09 AM,101.293,19.282
47,08/21/18 11:04:10 AM,101.277,19.282
48,08/21/18 11:04:11 AM,101.277,19.282
49,08/21/18 11:04:12 AM,101.277,19.282
50,08/21/18 11:04:13 AM,101.277,19.282
51,08/21/18 11:04:14 AM,101.277,19.282
52,08/21/18 11:04:15 AM,101.277,19.282
53,08/21/18 11:04:16 AM,101.277,19.282
54,08/21/18 11:04:17 AM,101.277,19.282
55,08/21/18 11:04:18 AM,101.277,19.282
56,08/21/18 11:04:19 AM,101.277,19.282
57,08/21/18 11:04:20 AM,101.277,19.282
58,08/21/18 11:04:21 AM,101.277,19.282
59,08/21/18 11:04:22 AM,101.277,19.282
60,08/21/18 11:04:23 AM,101.293,19.282
61,08/21/18 11:04:24 AM,101.277,19.282
62,08/21/18 11:04:25 AM,101.277,19.282
63,08/21/18 11:04:26 AM,101.277,19.282
64,08/21/18 11:04:27 AM,101.277,19.282
65,08/21/18 11:04:28 AM,101.277,19.282
66,08/21/18 11:04:29 AM,101.261,19.282
67,08/21/18 11:04:30 AM,101.277,19.282
68,08/21/18 11:04:31 AM,101.277,19.282
69,08/21/18 11:04:32 AM,101.261,19.282
70,08/21/18 11:04:33 AM,101.277,19.282
71,08/21/18 11:04:34 AM,101.277,19.282
72,08/21/18 11:04:35 AM,101.261,19.282
73,08/21/18 11:04:36 AM,101.277,19.282
74,08/21/18 11:04:37 AM,101.277,19.282
75,08/21/18 11:04:38 AM,101.277,19.282
76,08/21/18 11:04:39 AM,101.277,19.282
77,08/21/18 11:04:40 AM,101.261,19.282
78,08/21/18 11:04:41 AM,101.261,19.282
79,08/21/18 11:04:42 AM,101.277,19.282
80,08/21/18 11:04:43 AM,101.277,19.282
81,08/21/18 11:04:44 AM,101.277,19.282
82,08/21/18 11:04:45 AM,101.281,19.377
83,08/21/18 11:04:46 AM,101.297,19.377
84,08/21/18 11:04:47 AM,101.281,19.377
85,08/21/18 11:04:48 AM,101.281,19.377
86,08/21/18 11:04:49 AM,101.281,19.377
87,08/21/18 11:04:50 AM,101.281,19.377
88,08/21/18 11:04:51 AM,101.265,19.377
89,08/21/18 11:04:52 AM,101.281,19.377
90,08/21/18 11:04:53 AM,101.281,19.377
91,08/21/18 11:04:54 AM,101.281,19.377
92,08/21/18 11:04:55 AM,101.281,19.377
93,08/21/18 11:04:56 AM,101.265,19.377
94,08/21/18 11:04:57 AM,101.265,19.377
95,08/21/18 11:04:58 AM,101.265,19.377
96,08/21/18 11:04:59 AM,101.281,19.377
97,08/21/18 11:05:00 AM,101.269,19.472
98,08/21/18 11:05:01 AM,101.285,19.472
99,08/21/18 11:05:02 AM,101.285,19.472
100,08/21/18 11:05:03 AM,101.269,19.472
101,08/21/18 11:05:04 AM,101.269,19.472
102,08/21/18 11:05:05 AM,101.269,19.472
103,08/21/18 11:05:06 AM,101.269,19.472
104,08/21/18 11:05:07 AM,101.269,19.472
105,08/21/18 11:05:08 AM,101.269,19.472
106,08/21/18 11:05:09 AM,101.269,19.472
